amount,hour_of_day,day_of_week,is_online,merchant_risk,country_risk,customer_age_days,transaction_count_24h,amount_zscore,distance_from_home,device_age_days,is_new_device,distinct_merchants_24h,time_since_last_txn_hours,is_fraud
497.21,20,1,0,0.2603,0.3054,919,2,-1.463,7.5,281,0,1,12.067,0
70.36,19,0,1,0.0707,0.119,477,1,-0.379,20.5,307,1,0,8.021,0
1121.12,17,4,1,0.2012,0.3244,1048,2,0.712,10.7,176,0,0,7.167,0
509.84,8,3,1,0.7082,0.3603,123,11,8.072,867.2,13,1,7,1.883,1
167.37,20,1,1,0.2285,0.1637,578,2,-0.867,30.8,141,0,0,0.221,0
88.97,18,1,1,0.1253,0.0483,349,0,0.01,20.6,199,0,1,4.117,0
173.18,14,1,1,0.3758,0.2303,706,2,1.6,0.2,174,1,1,16.862,0
39.09,12,6,0,0.079,0.2479,390,1,-0.549,20.7,160,1,1,16.907,0
58.8,11,1,1,0.1633,0.1344,613,2,-0.924,8.3,150,0,1,9.977,0
134.31,19,0,1,0.1639,0.0216,400,2,-1.072,37.4,138,0,1,4.782,0
402.1,21,0,1,0.117,0.2547,319,5,0.019,5.7,102,0,2,2.422,0
481.88,13,4,1,0.0881,0.2071,1108,3,-1.267,9.0,99,0,3,0.257,0
431.73,11,3,0,0.2265,0.1718,600,3,1.273,3.6,89,0,0,7.693,0
423.63,9,0,1,0.0565,0.0641,818,0,-0.915,29.9,264,0,2,6.889,0
194.24,13,3,0,0.1065,0.4638,1266,2,1.252,17.2,194,0,2,4.523,0
614.73,10,0,1,0.2156,0.0452,1227,1,-0.512,18.8,366,0,1,4.281,0
214.16,19,6,1,0.2512,0.1011,790,3,0.915,0.6,250,0,2,3.806,0
206.84,16,1,1,0.1508,0.3268,1131,1,-0.067,18.0,221,0,1,20.873,0
169.19,14,0,1,0.4004,0.1236,361,0,1.122,28.4,127,0,1,0.413,0
104.73,17,3,0,0.1642,0.0847,360,5,1.53,3.7,253,0,0,59.863,0
560.9,16,1,0,0.3316,0.1512,809,1,-0.3,33.1,86,0,2,1.689,0
298.55,19,4,0,0.6055,0.0832,570,1,-0.023,27.5,237,0,1,11.975,0
159.63,19,3,0,0.2004,0.3781,815,2,0.259,7.2,143,0,3,9.356,0
215.49,12,4,0,0.0705,0.1342,877,1,-0.572,28.7,264,0,2,4.068,0
91.63,10,3,1,0.4404,0.1853,701,1,-1.157,20.9,174,0,0,4.42,0
126.12,10,4,1,0.1837,0.2415,785,2,1.029,24.3,107,0,2,4.615,0
53.46,17,4,0,0.1323,0.1987,352,6,1.719,34.5,509,1,3,0.154,0
269.52,10,6,1,0.175,0.2704,549,4,0.25,6.6,182,0,1,15.197,0
85.43,11,1,1,0.2146,0.1078,436,2,0.166,2.9,120,1,1,22.038,0
635.93,12,4,0,0.2828,0.154,295,4,-0.439,7.9,342,0,2,19.201,0
311.72,20,1,1,0.1635,0.2671,844,1,1.148,2.6,276,0,1,3.768,0
397.07,12,5,1,0.4867,0.0681,204,0,-0.531,3.9,128,0,1,25.393,0
281.09,12,3,0,0.0975,0.1865,569,0,-0.887,7.3,340,1,5,0.092,0
120.91,18,5,1,0.1634,0.1627,812,4,0.966,32.3,60,0,2,8.288,0
60.74,10,3,0,0.2011,0.159,843,1,-1.877,46.5,124,0,1,10.231,0
57.07,21,3,0,0.1259,0.0915,822,2,-0.069,19.6,87,0,1,5.966,0
276.27,20,4,0,0.0325,0.1215,529,2,-1.562,28.2,114,0,2,28.644,0
835.15,15,1,1,0.4332,0.8357,146,12,4.242,601.2,30,0,4,1.074,1
114.31,18,2,1,0.1647,0.1504,632,2,0.973,8.2,249,0,1,0.14,0
393.6,18,4,1,0.1811,0.1469,829,3,-0.248,1.1,161,0,1,15.347,0
440.32,20,0,1,0.3955,0.1298,381,0,0.439,3.1,55,0,2,40.389,0
277.82,17,1,0,0.1177,0.218,269,1,0.607,48.1,147,0,2,9.34,0
292.13,19,2,0,0.304,0.2596,1085,3,0.363,37.6,94,0,2,16.183,0
288.74,12,3,0,0.1618,0.1882,357,4,0.756,14.0,383,1,1,18.449,0
251.48,10,5,1,0.2491,0.0811,437,3,0.86,25.8,222,0,2,0.44,0
167.53,9,1,1,0.2476,0.0406,613,2,-0.892,13.8,173,0,4,8.256,0
328.12,12,2,1,0.1249,0.1457,1248,1,1.023,60.8,191,0,0,13.184,0
486.74,19,5,1,0.324,0.2727,593,2,-0.977,2.2,89,0,1,24.472,0
95.81,12,3,1,0.2421,0.1036,782,3,0.192,34.6,97,0,1,16.023,0
98.42,18,4,1,0.1566,0.2476,704,4,-0.666,39.6,101,0,0,3.64,0
231.81,20,4,0,0.0807,0.1661,762,3,0.267,49.9,170,1,0,1.266,0
240.93,13,3,1,0.2033,0.1855,625,2,-0.964,8.7,264,0,3,4.897,0
60.12,19,1,0,0.1761,0.109,406,1,0.412,7.6,271,0,3,19.354,0
196.4,10,4,1,0.1976,0.3378,815,2,0.577,33.6,278,0,1,1.885,0
36.5,18,2,1,0.1285,0.0963,545,2,1.286,19.1,325,0,1,2.634,0
185.07,21,0,1,0.267,0.1464,579,1,0.144,28.3,385,0,0,7.836,0
198.5,17,3,1,0.1763,0.0419,606,5,-0.293,24.3,134,0,0,18.832,0
321.38,14,5,1,0.1808,0.0673,619,0,-0.612,24.1,156,0,1,6.498,0
351.82,11,2,1,0.2837,0.3088,779,1,-1.681,27.3,264,1,1,15.916,0
180.17,8,0,0,0.1122,0.0614,568,2,-0.464,14.6,292,0,2,0.476,0
111.77,19,0,0,0.2489,0.3289,467,1,1.248,34.5,136,0,3,3.759,0
167.49,18,5,1,0.0641,0.2234,500,2,-0.314,14.1,135,0,0,22.594,0
116.81,15,4,0,0.402,0.033,835,3,-0.867,14.5,190,0,0,5.811,0
710.37,20,3,1,0.7487,0.4246,20,6,4.271,1159.7,20,0,5,0.086,1
344.85,22,2,1,0.3049,0.1215,525,1,-1.994,9.3,239,0,1,13.396,0
55.25,14,5,1,0.1632,0.3832,714,1,0.159,0.0,170,0,1,22.065,0
206.96,12,1,1,0.2877,0.1586,305,3,-0.107,0.7,71,0,1,3.553,0
67.48,18,4,0,0.365,0.3459,1585,2,-0.628,29.4,96,0,2,18.132,0
208.78,19,5,0,0.0827,0.1567,414,2,0.152,18.2,161,1,0,4.808,0
86.17,18,5,1,0.4572,0.3386,978,4,-1.203,1.5,147,0,3,10.943,0
148.67,12,6,0,0.0475,0.1374,297,2,2.178,1.1,124,1,0,14.4,0
138.83,11,2,0,0.425,0.3253,795,5,0.065,37.0,171,0,3,20.943,0
126.61,11,5,1,0.2654,0.1839,630,1,-0.265,2.8,83,0,3,2.911,0
198.41,16,4,1,0.2201,0.1526,327,4,0.093,12.6,297,0,2,27.907,0
96.97,17,5,1,0.3092,0.3649,707,4,-0.18,8.7,194,0,1,4.653,0
524.14,19,2,1,0.1137,0.0528,735,2,-0.173,20.5,179,0,2,9.669,0
169.65,17,4,1,0.11,0.0545,806,2,-0.558,14.9,352,0,2,4.882,0
144.95,11,2,1,0.1996,0.0426,891,0,1.225,13.3,169,0,1,13.777,0
199.01,7,0,1,0.2775,0.1913,680,2,0.732,19.3,145,0,0,3.491,0
49.32,20,0,1,0.2301,0.2085,855,0,-1.143,38.8,156,0,0,3.137,0
212.92,11,5,1,0.1049,0.1648,440,2,0.882,42.1,208,1,3,61.64,0
403.98,17,5,1,0.6723,0.468,30,10,3.147,347.5,15,0,3,0.029,1
221.48,19,1,0,0.1376,0.0809,306,3,0.087,5.7,91,0,1,5.533,0
429.52,13,3,0,0.2117,0.2126,702,2,-2.496,22.7,141,0,4,15.328,0
181.54,15,1,1,0.218,0.1123,577,2,-0.372,25.4,147,0,1,13.454,0
793.72,5,5,1,0.554,0.5851,92,12,1.643,36.2,7,1,9,0.039,1
35.21,17,3,0,0.1304,0.1202,556,0,1.339,2.3,412,0,3,9.746,0
284.79,15,5,0,0.2926,0.1574,705,1,0.323,0.0,150,0,3,13.866,0
139.5,17,4,1,0.1873,0.1947,433,0,1.751,21.9,122,0,2,21.925,0
177.0,11,1,1,0.5084,0.0379,827,2,-1.892,22.5,166,0,3,21.417,0
1279.65,11,2,0,0.1058,0.2946,560,4,-0.429,14.5,92,0,2,34.887,0
156.81,19,1,1,0.0831,0.0659,626,1,0.991,9.1,140,0,0,1.726,0
84.09,6,0,1,0.1107,0.0924,509,2,-0.09,40.6,137,0,3,20.727,0
212.94,18,5,1,0.148,0.1978,669,1,0.334,7.5,168,0,0,24.07,0
126.84,10,4,1,0.1606,0.0893,548,0,-3.301,16.5,63,0,2,54.337,0
272.18,19,5,1,0.2242,0.2916,493,3,1.533,36.6,490,0,3,13.897,0
148.6,18,2,1,0.1414,0.11,385,3,0.143,47.5,192,0,0,4.258,0
244.57,10,0,1,0.4204,0.1004,420,4,-0.762,19.6,202,0,1,9.442,0
45.96,16,3,1,0.1243,0.0504,1130,2,0.303,59.2,165,0,4,2.104,0
74.01,22,5,1,0.2485,0.141,790,1,-1.418,3.4,137,0,2,3.879,0
77.91,18,2,1,0.7603,0.5541,60,7,0.808,510.6,1,0,2,0.198,1
272.18,20,4,0,0.2674,0.3071,1135,1,1.063,27.9,221,1,1,5.936,0
409.26,20,1,0,0.1199,0.1218,604,1,-2.503,8.7,156,0,0,2.357,0
137.57,11,1,0,0.1009,0.0638,889,3,1.711,19.2,246,0,1,23.31,0
641.96,11,1,0,0.2391,0.0447,566,1,0.816,43.9,74,0,4,1.053,0
302.45,10,2,0,0.063,0.0369,624,2,0.377,20.0,148,0,0,1.671,0
93.79,10,1,0,0.3279,0.1258,790,0,-0.962,12.3,131,0,1,8.58,0
265.36,11,2,0,0.1983,0.1406,938,1,-0.313,24.9,289,0,0,7.588,0
198.0,18,1,1,0.1526,0.0922,923,1,-0.741,15.3,76,0,2,40.893,0
88.59,11,4,0,0.1982,0.1491,990,1,1.479,25.5,187,0,0,0.443,0
618.77,18,6,1,0.8395,0.4766,180,8,2.1,563.8,21,0,4,0.196,1
148.94,20,5,1,0.1052,0.0867,1159,3,0.666,22.2,143,0,3,14.838,0
354.8,17,2,0,0.059,0.2381,789,0,-0.856,38.5,205,0,2,19.325,0
80.9,19,3,1,0.2885,0.1952,712,1,-1.496,3.6,343,0,2,22.965,0
187.29,21,4,0,0.3696,0.3477,691,4,-0.776,53.1,301,0,0,8.132,0
374.41,12,0,1,0.1981,0.1729,904,3,-1.318,1.7,101,1,1,20.453,0
53.28,18,1,1,0.3645,0.1732,625,4,1.749,1.1,151,0,1,29.35,0
249.8,18,2,1,0.2508,0.0983,617,1,-0.214,15.7,278,1,2,16.579,0
103.8,12,5,1,0.2004,0.2513,855,2,-1.881,5.1,165,0,1,16.892,0
251.42,14,2,0,0.4262,0.0718,1051,1,1.093,48.6,83,0,1,27.973,0
568.13,18,4,0,0.0717,0.1148,773,1,-0.047,13.3,223,0,2,19.16,0
180.34,21,4,0,0.2347,0.1976,562,1,-0.227,9.7,247,0,2,13.585,0
189.88,13,1,0,0.1933,0.3767,446,2,-0.765,38.0,147,0,2,0.541,0
196.54,11,3,1,0.1386,0.1451,371,1,-1.138,31.3,277,0,1,5.975,0
201.26,11,3,0,0.2928,0.0547,1569,2,-0.346,32.6,145,0,2,1.874,0
262.33,9,2,0,0.033,0.0944,746,3,-1.094,20.0,106,0,1,2.584,0
35.43,9,4,1,0.1089,0.1211,945,2,-0.243,8.8,204,0,2,5.066,0
263.84,12,3,0,0.2285,0.2399,795,2,-0.254,1.8,188,0,0,29.428,0
385.4,17,3,0,0.0591,0.1286,462,2,0.915,5.4,154,0,0,24.548,0
4635.17,7,5,1,0.5804,0.879,11,7,4.275,107.3,2,1,1,1.013,1
44.3,21,0,1,0.2693,0.088,439,2,1.223,4.9,323,0,2,22.66,0
134.45,7,0,0,0.2919,0.3991,351,3,-0.043,24.8,276,0,2,25.511,0
190.98,21,4,1,0.1552,0.1185,1004,6,-0.048,28.7,105,1,4,2.33,0
234.45,20,5,0,0.154,0.0573,698,4,0.817,9.3,134,0,3,14.325,0
108.74,18,1,0,0.2806,0.1082,1487,4,-0.547,15.6,396,0,0,7.025,0
87.01,9,0,1,0.3897,0.0648,439,1,-1.02,4.6,151,0,2,17.866,0
15.41,19,6,0,0.4273,0.1309,395,4,0.679,28.4,285,1,1,2.467,0
346.65,14,1,0,0.1805,0.0986,1207,1,-0.138,12.6,159,0,1,7.901,0
195.34,12,5,1,0.2125,0.366,428,6,-0.391,22.0,72,1,4,4.048,0
281.19,11,3,0,0.0464,0.1176,412,0,1.022,27.4,267,0,0,33.433,0
236.2,19,1,1,0.2322,0.0384,744,1,-0.934,7.1,275,0,3,12.835,0
86.22,19,1,0,0.0842,0.1809,433,2,-2.055,18.4,121,0,2,1.877,0
151.68,21,2,1,0.3567,0.1881,434,2,0.521,23.2,129,0,6,44.762,0
152.27,13,0,0,0.1153,0.3077,472,1,-0.074,11.8,65,0,1,9.902,0
373.21,19,2,0,0.078,0.0934,1063,1,0.456,19.1,493,0,1,7.476,0
128.29,12,2,1,0.1335,0.2199,719,1,-1.294,15.2,447,0,3,6.202,0
101.55,12,1,0,0.2532,0.3182,557,2,-0.057,5.8,317,0,2,15.889,0
150.82,17,6,1,0.4535,0.7318,80,14,2.032,210.0,9,1,8,0.251,1
1941.26,20,4,1,0.8736,0.77,60,11,3.457,1214.9,15,0,12,0.333,1
225.59,8,1,0,0.0509,0.2498,134,1,-2.298,5.9,117,0,1,21.287,0
5749.79,5,4,1,0.7272,0.7201,196,11,3.391,362.1,2,1,4,0.09,1
115.89,21,0,1,0.376,0.2836,673,5,-1.443,9.4,290,0,2,7.561,0
274.07,17,1,1,0.1563,0.0096,1614,1,0.042,9.7,119,0,1,8.94,0
109.62,12,0,0,0.0937,0.1577,607,1,-2.085,3.7,164,0,3,5.386,0
362.41,13,3,1,0.1553,0.2266,990,5,0.756,18.4,241,0,2,13.829,0
180.86,20,1,1,0.199,0.2786,703,1,-1.609,7.2,171,0,0,12.75,0
96.08,12,0,0,0.493,0.1689,246,1,-0.91,32.6,197,0,1,3.174,0
151.93,11,3,0,0.138,0.21,492,2,1.603,12.1,122,0,2,5.113,0
142.87,20,4,1,0.1196,0.0865,1189,4,-0.677,13.5,217,1,0,4.958,0
125.59,20,6,0,0.1475,0.1176,417,2,-0.65,24.4,362,0,4,12.253,0
445.62,20,2,0,0.3497,0.1493,627,5,1.007,24.6,164,0,3,1.582,0
42.89,19,5,0,0.3302,0.045,505,3,1.241,19.1,191,0,2,0.929,0
211.0,9,1,1,0.4241,0.2526,1087,0,0.942,15.3,277,1,1,12.329,0
105.2,19,6,1,0.0957,0.0857,756,2,0.267,49.5,218,1,0,1.568,0
376.25,19,3,1,0.099,0.0849,375,2,-2.21,2.3,109,1,6,0.674,0
36.29,9,3,1,0.1872,0.2046,689,2,-0.96,26.8,123,0,4,9.37,0
107.24,19,6,1,0.0802,0.0993,805,2,-0.03,12.2,478,1,4,4.21,0
178.29,17,4,0,0.08,0.1336,290,6,1.098,25.3,151,0,1,0.082,0
81.78,9,0,1,0.209,0.1995,856,2,-1.079,27.8,60,0,3,2.781,0
88.69,21,4,0,0.3384,0.2087,1009,1,-0.107,19.7,220,0,4,0.434,0
259.14,13,4,1,0.1328,0.1594,1206,3,0.65,10.8,213,0,1,14.976,0
154.15,8,2,0,0.2724,0.0482,334,2,-1.418,40.9,161,0,1,3.097,0
310.11,15,4,0,0.1245,0.0999,624,0,-0.921,13.9,183,0,2,3.337,0
133.32,12,3,1,0.0509,0.0808,538,2,1.619,29.9,199,0,0,13.483,0
304.09,19,5,1,0.4003,0.1233,697,2,-1.532,8.8,444,1,1,10.533,0
60.66,19,2,1,0.3313,0.0411,705,3,1.268,17.8,159,0,3,3.005,0
33.94,12,0,0,0.1775,0.2824,927,1,-1.041,0.9,327,0,2,0.182,0
21.14,18,3,1,0.243,0.1536,546,4,1.093,41.9,464,0,2,3.433,0
65.36,18,0,0,0.233,0.2839,759,2,-0.216,19.3,330,1,2,5.832,0
161.16,18,2,0,0.2484,0.082,693,0,-0.806,22.9,164,1,0,9.12,0
220.36,21,2,1,0.0472,0.2451,1024,2,-0.847,13.8,171,0,0,11.935,0
303.39,7,1,0,0.0786,0.0655,931,2,0.127,32.4,220,0,2,17.399,0
153.85,19,5,0,0.1411,0.1129,993,1,-0.039,4.0,173,0,0,6.83,0
78.56,19,2,0,0.213,0.183,1133,2,0.759,3.3,137,0,3,2.483,0
505.47,16,2,1,0.1703,0.1278,677,1,0.698,33.1,203,0,3,6.479,0
45.37,17,3,1,0.291,0.3637,703,2,0.44,15.1,69,0,1,2.494,0
37.06,19,1,1,0.1918,0.3246,175,0,0.087,24.5,135,0,4,0.837,0
62.87,10,3,1,0.3069,0.1438,721,4,0.454,22.5,124,0,2,2.129,0
358.19,10,5,1,0.7814,0.3866,62,8,2.857,648.4,30,1,7,1.499,1
270.63,16,1,1,0.0568,0.0752,252,1,2.943,30.5,67,0,3,16.754,0
121.01,11,2,1,0.1797,0.0796,579,3,-1.187,17.1,429,0,1,10.746,0
31.23,16,4,1,0.0564,0.1009,580,2,1.238,34.1,168,0,3,9.874,0
88.15,19,3,0,0.2806,0.1204,514,2,-1.071,24.5,61,0,1,3.769,0
111.77,12,1,1,0.2333,0.2194,573,3,0.783,46.9,160,0,0,5.666,0
70.81,20,3,0,0.2962,0.6266,1472,3,-1.888,28.1,404,0,3,1.77,0
57.59,18,5,1,0.1471,0.3656,1602,3,-0.17,28.8,390,1,2,2.109,0
714.96,10,0,1,0.0561,0.0235,691,2,0.207,13.3,186,0,2,6.576,0
528.26,18,4,0,0.1072,0.159,608,2,-2.2,4.5,181,0,1,9.58,0
290.93,17,1,1,0.3407,0.0913,594,3,-0.057,28.2,118,0,0,30.566,0
139.34,18,5,0,0.1952,0.0734,567,3,0.509,64.9,166,1,0,1.716,0
110.28,9,3,0,0.1979,0.1694,768,3,-1.332,42.4,98,0,2,27.655,0
48.75,16,2,1,0.0471,0.0946,1023,0,-0.473,14.2,122,0,1,4.091,0
1132.52,12,4,0,0.4841,0.6317,36,9,3.886,473.1,3,1,6,3.052,1
325.27,11,3,1,0.1254,0.1115,637,1,-2.092,12.0,231,0,2,1.477,0
92.14,16,3,0,0.1834,0.0961,819,1,0.442,64.9,251,0,1,4.812,0
144.65,18,4,0,0.4809,0.168,427,2,0.451,12.2,366,0,2,2.645,0
65.36,12,0,0,0.0854,0.2712,452,4,0.4,27.8,298,0,0,7.963,0
95.29,19,3,1,0.1475,0.1119,334,1,1.563,39.5,165,0,2,14.189,0
623.28,12,3,1,0.2466,0.2276,631,3,1.088,11.7,281,0,3,11.037,0
84.11,13,3,0,0.2003,0.204,677,3,-0.037,7.1,243,0,0,15.34,0
134.95,13,0,1,0.2514,0.1135,433,1,-0.929,29.2,495,0,1,6.779,0
269.0,9,1,1,0.1558,0.2991,668,3,1.482,11.5,229,0,1,0.752,0
92.8,13,2,0,0.416,0.1178,849,2,-1.397,45.6,68,0,2,3.446,0
104.01,16,2,0,0.2719,0.2215,602,0,-1.4,9.0,162,0,1,12.142,0
199.59,10,4,0,0.1806,0.0396,981,5,-1.489,8.2,333,0,0,19.072,0
123.41,10,0,1,0.3476,0.1929,648,2,0.768,22.5,250,0,4,5.851,0
472.98,19,2,1,0.0868,0.2307,444,4,0.354,25.9,158,0,2,5.818,0
112.79,18,1,0,0.0306,0.3644,470,2,-1.089,21.8,147,0,2,21.378,0
103.11,18,3,0,0.1255,0.161,547,5,-0.928,30.8,202,0,0,6.002,0
463.69,17,2,0,0.1005,0.1689,379,0,0.273,22.3,264,0,3,5.437,0
58.4,18,1,0,0.199,0.138,323,2,-1.272,37.0,151,0,1,10.561,0
55.08,20,0,0,0.2282,0.2464,696,1,-0.702,40.4,315,0,2,15.133,0
23.36,20,6,1,0.1754,0.1841,856,0,-0.523,23.9,203,0,1,2.118,0
321.21,17,0,1,0.1833,0.1217,999,0,0.266,1.8,129,0,4,17.154,0
777.33,13,4,1,0.0256,0.0823,918,2,-0.361,2.7,169,0,0,2.732,0
128.26,12,0,0,0.1956,0.329,321,1,-0.819,6.1,378,0,2,0.128,0
573.88,13,4,1,0.0965,0.133,660,0,-0.03,52.5,421,0,2,29.77,0
523.44,11,1,1,0.1037,0.3505,500,2,-0.667,25.5,171,0,0,3.225,0
324.91,11,5,0,0.1811,0.2664,683,3,-0.111,3.8,111,0,3,10.178,0
33.76,12,1,1,0.0882,0.2583,372,3,1.204,19.1,190,0,1,0.39,0
51.97,12,5,1,0.1124,0.1852,652,1,-0.959,22.0,258,1,2,5.198,0
225.65,12,3,1,0.0288,0.0519,878,2,0.291,3.7,389,0,2,12.414,0
47.02,18,2,0,0.1879,0.2492,533,0,-0.35,10.3,158,0,1,4.595,0
164.64,16,6,1,0.3827,0.2104,641,5,-0.932,14.9,134,0,1,4.737,0
25.87,17,4,1,0.2561,0.0871,581,2,-0.451,30.0,150,0,1,37.282,0
73.95,15,6,1,0.0928,0.2704,312,1,-0.452,39.4,263,0,0,7.101,0
294.46,20,2,0,0.1203,0.1367,869,1,0.006,48.9,143,0,2,6.283,0
84.81,14,0,1,0.0638,0.1899,298,4,-0.045,13.8,207,0,1,15.291,0
504.48,13,5,0,0.1034,0.2186,941,3,-0.776,10.8,268,0,0,10.173,0
125.44,18,1,0,0.1477,0.1886,882,3,-0.99,46.3,144,0,2,5.459,0
266.51,18,5,1,0.2233,0.2456,456,1,-1.121,22.2,150,1,0,7.501,0
322.25,19,2,1,0.043,0.1346,1343,4,0.067,17.3,146,0,3,1.126,0
161.27,19,1,1,0.3227,0.161,194,0,-2.392,26.0,105,0,1,1.872,0
631.46,9,6,1,0.1099,0.0997,750,5,1.8,40.4,113,0,3,40.103,0
58.39,14,2,1,0.2312,0.0714,929,0,1.272,18.6,184,0,0,0.485,0
201.87,9,3,1,0.1804,0.2065,1292,5,-0.984,7.9,141,0,1,10.923,0
105.98,21,0,1,0.1572,0.242,780,1,-0.657,15.1,180,0,2,5.4,0
131.96,12,0,1,0.2647,0.1335,1365,1,0.712,27.9,96,0,1,1.032,0
258.09,16,2,1,0.234,0.1597,902,2,-0.133,23.7,198,0,2,30.563,0
101.84,12,1,1,0.0841,0.3078,773,3,0.499,4.5,120,0,0,2.712,0
308.83,12,6,1,0.1085,0.0946,982,2,-0.223,63.1,108,0,1,5.351,0
81.32,19,1,1,0.2182,0.0112,489,2,2.439,34.9,244,0,2,11.826,0
142.13,19,3,1,0.1452,0.014,416,6,-0.401,11.3,225,1,1,9.234,0
550.54,20,4,0,0.1431,0.1221,1011,1,0.106,32.6,411,0,1,8.988,0
21.12,18,0,1,0.2815,0.071,607,3,-0.291,10.7,205,0,0,3.397,0
182.46,12,6,0,0.2738,0.0646,341,1,-0.562,8.7,227,0,1,45.071,0
